,Datetime,Tweet Id,Text,Username,rate
0,2022-02-05 15:00:27+00:00,1.48998E+18,"__Staff Spotlight!__

Logan Kreider is our Marketing Specialist. He has helped grow multiple social media accounts to 100,000__ of followers and now is focused on optimizing our social media, email communication, and website.

Meet our team here: https://t.co/6GfLuWvpXZ.

#hopeww https://t.co/gVfOynTp2G",HOPEworldwide,3
1,2022-02-02 15:00:17+00:00,1.48889E+18,"UPDATE: #TyphoonRai Disaster Response

#HOPEww Philippines_ Disaster Response Team is actively responding and assisting with relief and recovery in multiple locations. HOPEww is assisting with relief funds to support families and communities. 

Donate Now: https://t.co/VcPyIhgAsr https://t.co/Ur54tf37by",HOPEworldwide,3
2,2022-01-30 18:00:15+00:00,1.48785E+18,"In honor of MLK Day Paul Frug√© II, our Sr. Director of Marketing &amp; Communications, and his HOPEww San Diego Chapter and San Diego Church of Christ - Coastal Ministry went out to Downtown San Diego to meet and serve their neighbors who are experiencing homelessness. 

#hopeww https://t.co/Sc7BFqPcW5",HOPEworldwide,3
3,2022-01-27 15:00:10+00:00,1.48672E+18,"Today is the day! Join us tonight for __halom: Righteousness, Community and Loving Our Neighbors_ featuring Marty Solomon.

TONIGHT, Jan. 27th, 8 p.m. EST / 5 p.m. PST LIVE on HOPEww__ YouTube Channel! Learn More &amp; Register Now: https://t.co/3Synahfx7g 

#hopeworldwide #hopeww https://t.co/4Z4smDumVr",HOPEworldwide,2
4,2022-01-26 13:15:20+00:00,1.48633E+18,"Just one day away from @HOPEworldwide__ first volunteer training event of the year _ __halom: Righteousness, Community and Loving Our Neighbors._
_
Jan. 27th, 8 p.m. EST / 5 p.m. PST LIVE on HOPEww__ YouTube Channel!
Learn More https://t.co/IoiAcSk2c0_
_
#hopeworldwide #hopeww https://t.co/Y4qi4DC15e",the_BEMA,3
5,2022-01-22 15:00:12+00:00,1.4849E+18,"Erin Youngblood is our amazing Sr. Project Manager for the Marketing &amp; Communications team. She helps us manage all of our ongoing projects and campaigns as well as helping us meet all our deadlines!

Get to know our team by visiting our website: https://t.co/6GfLuWvpXZ.

#hopeww https://t.co/wmi3guWDL0",HOPEworldwide,2
6,2022-01-21 18:25:08+00:00,1.48459E+18,"_§Ô_What Does Love Look Like?__

This past weekend our President &amp; Chief Evangelist, Dr. Ben Barnett, and our Senior Director of U.S. Programs, Terri Loso, traveled to meet with The Memphis Church to honor the 93rd birthday of Dr. Martin Luther King Jr.

#hopeworldwide #hopeww https://t.co/3mEj7KaNIx",HOPEworldwide,3
7,2022-01-17 18:00:56+00:00,1.48314E+18,"Today We Honor The Legacy of Dr. Martin Luther King Jr.

__ife__ most persistent and urgent question is, __hat are you doing for others?__ - Dr. King

How will you use your MLK Day of Service to honor Dr. King__ legacy?

#hopeww  #mlkday #martinlutherking #martinlutherkingday https://t.co/1DvvFrAyYN",HOPEworldwide,2
8,2022-01-09 18:00:25+00:00,1.48024E+18,"Great job San Diego Coastal Region!__

__epost from @sdcoc_coastal_ 

Love the hearts of service! Taking the hygiene kits to the community in need. @hope_worldwide _§Ô_

#hopeworldwide #hopeww https://t.co/SyfpMGNR2A",HOPEworldwide,3
9,2022-01-06 18:01:10+00:00,1.47915E+18,"__SAVE THE DATE!__

Please join us for __halom: Righteousness, Community and Loving Our Neighbors_ featuring our good friend, Marty Solomon.

This event will be on Thursday, Jan 27th, 8pm EST / 5pm PST LIVE on HOPEww__ YouTube Channel! RSVP Now: https://t.co/veEfagOh6M

#hopeww https://t.co/c4s30B52ZS",HOPEworldwide,2
10,2022-01-04 17:00:08+00:00,1.47841E+18,"Great work #HOPEww Sweden!__

__epost from HOPEww Sweden_

On Monday evenings, HOPEww Sweden volunteers make dinner for those experiencing homelessness who get a bed at St. Clara Kyrka, a church open at night! Together we can make life at least a little better. https://t.co/ol4v4Jc7cx",HOPEworldwide,2
11,2021-12-30 15:05:02+00:00,1.47657E+18,"Repost from HOPEww Bay Area Chapter:

Thanks to generous donors around the Bay Area, HOPE ww BAC volunteers gathered this morning to sort and package up 125+ blankets and 40+ winter coats to distribute to families in East Oakland.

#hope #hopeworldwide #hopeww https://t.co/uiSvBRZL6P",HOPEworldwide,2
12,2021-12-30 00:15:02+00:00,1.47635E+18,"__epost from @hopeworldwidesingapore_

On Saturday 11/27, 34 HOPEww Singapore volunteers spoke to more than 70 residents who are seniors living alone or low-income families in the community, as part of our needs survey during the Season of HOPE and Giving campaign. 

#hopeww https://t.co/6eNNAwWUYu",HOPEworldwide,2
13,2021-12-21 08:41:16+00:00,1.47321E+18,"It__ the season to give thanks! Lets remember to thank the One who made it possible for us to have our blessings today. 

#thankful #hope #hopemakes #liftup #hopeww #hopewwtacoma #southsound https://t.co/YXCGh0sZpl",HOPEFou75031954,3
14,2021-12-21 08:40:21+00:00,1.47321E+18,"__ut you, Lord, are a shield around me, my glory, the One who lifts my head high.

 #liftsyou #hopeisamazing #hopeww #liftothersup #spreadlove #serveyourneighbor https://t.co/ICmjVfzY3A",HOPEFou75031954,2
15,2021-12-20 18:00:25+00:00,1.47299E+18,"Responding to Super Typhoon Rai 

#HOPEww is actively responding to the major destruction by providing food, shelter and funds for immediate relief to families and communities in need. To support our Global Disaster Response efforts, please Donate Now: https://t.co/VcPyIhgAsr. https://t.co/NE9EuTFCWb",HOPEworldwide,3
16,2021-12-19 15:00:20+00:00,1.47258E+18,"Such great work by the Santa Clarita Church of Christ!

__epost from @svcoc_

Generosity overflowed from each of you to meet needs with our local homeless shelter, __ridge to Home,_ and our local food pantry. Thank you! _________

#hopeworldwide #hopeww https://t.co/R96uekjtpJ",HOPEworldwide,2
17,2021-12-12 20:00:05+00:00,1.47012E+18,"Pray for those affected by the devastating tornadoes in the US. HOPE worldwide is actively assessing the situation to prepare disaster relief assistance. To support our Global Disaster Response efforts, please Donate Now: https://t.co/VcPyIhgAsr.

#hopeworldwide #hopeww #tornado https://t.co/BpORIRIK5W",HOPEworldwide,3
18,2021-12-12 17:00:14+00:00,1.47008E+18,"__epost from HOPEww NY Metro Chapter_

The BK HOPE Ministry had an amazing time Saturday volunteering with The Campaign Against Hunger at their urban farms and food packing center. This great organization addresses food insecurity needs in our communities

#hopeww https://t.co/9geMWTU9bJ",HOPEworldwide,3
19,2021-12-10 15:16:03+00:00,1.46933E+18,"Today is #InternationalHumanRightsDay!
 
2021__ theme is Equality. For perspectives from our #HOPEww U.S. Justice Alliance members and the work being done by our U.S. Chapters in the @UN areas of focus around Equality, click here: https://t.co/XVwJJtNegy.

#humanrightsday https://t.co/Igezx57Esq",HOPEworldwide,3
20,2021-12-09 17:00:17+00:00,1.46899E+18,"When the world shut down, HOPE worldwide continued reaching out.

If making a tangible difference for people in need is on your heart this holiday season, please consider making a gift to support our Global Mission today!

To donate click here: https://t.co/bcQWJYvO03

#hopeww https://t.co/fHE0p5zhnk",HOPEworldwide,2
21,2021-12-08 15:00:48+00:00,1.4686E+18,"--Repost from The Gulf Coast Christian Church--

This past weekend we hosted a 5K run/walk to support @hope_worldwide. Thank you to everyone who participated and to everyone that has donated. You are making a tremendous impact on our community and around the world.

#hopeww https://t.co/iK7KkbVHlg",HOPEworldwide,2
22,2021-12-07 15:00:12+00:00,1.46823E+18,"Our purpose at #HOPEww is to see a world transformed through love, respect, &amp; partnership with our neighbors in need. Our volunteers seek to honor our neighbors_ dignity by __oing with_ rather than __oing for_ &amp; providing meaningful exchange when possible. 

Credit: @ohhappydani https://t.co/nprIFMI0zJ",HOPEworldwide,2
23,2021-12-06 15:00:09+00:00,1.46787E+18,"--Repost from HOPEww Southern CT Chapter--

We were able to collect 40 baskets full of Thanksgiving items that will be given to 40 families from four schools throughout Fairfield County that we are in partnership with.

#hopeworldwide #hopeww https://t.co/2FrLMu8rAG",HOPEworldwide,2
24,2021-12-03 15:00:10+00:00,1.46678E+18,"--Repost from HOPEww Malaysia--

We are excited to resume the Therapeutic Art Education Program sponsored by Sun Life Malaysia.  Last Sunday we had such an enjoyable time with our community by combining the colors from roots and leaves!

#HOPEww #hopeworldwide https://t.co/DY2rYPb8qc",HOPEworldwide,3
25,2021-12-02 15:01:03+00:00,1.46642E+18,"YOU DID IT! You helped us surpass our goal and, with matching funds, raise $70,889 on #GivingTuesday for our HVC Scholarship Fund.

We could not have done this without you. Your sacrificial giving is inspiring greater hope around the world!

Thank you for your support!

#HOPEww https://t.co/OuNXlfluc9",HOPEworldwide,3
26,2021-12-01 15:00:12+00:00,1.46606E+18,"__Registration for the 2022 #HOPEww Volunteer Corps is open!

For more information on our 2022 Volunteer Corps, and to apply, go to https://t.co/vvJvveDLl4!

We have scholarships in case of financial need.

#hopeworldwide https://t.co/BN8WiO9BYW",HOPEworldwide,3
27,2021-12-01 05:00:17+00:00,1.46591E+18,"Nadine Templer, our Senior Director of HVC, is matching the French  man with a mustache look __. What__ your match?
---
We have 24 hours to match $24K, and we need your help! Donate Now: https://t.co/5vI4zxTiG9.
 
#GivingTuesday #hopeww https://t.co/OYZECrjuFa",HOPEworldwide,3
28,2021-12-01 03:00:17+00:00,1.46588E+18,"Claudia Salazar, a NYAC member, is matching Dora from the show Dora the Explorer. What__ your match?
---
We have 24 hours to match $24K, and we need your help! Donate Now: https://t.co/5vI4zxTiG9.
 
#GivingTuesday #hopeww https://t.co/rXopR5qk6b",HOPEworldwide,2
29,2021-11-30 23:00:30+00:00,1.46582E+18,"Sam Berensohn, a Global Service Intern, is matching Anton Ego from the movie Ratatouille. What__ your match?
---
We have 24 hours to match $24K, and we need your help! Donate Now: https://t.co/5vI4zxTiG9. 
 
#GivingTuesday #hopeww https://t.co/bOiqNagmM4",HOPEworldwide,3
30,2021-11-30 21:00:35+00:00,1.46579E+18,"Paul Frug√© II, our Senior Director of Marketing, and Keisa Frug√© are matching Finn and Jake from the show Adventure Time. What__ your match?
---
We have 24 hours to match $24K, and we need your help! Donate Now: https://t.co/5vI4zxTiG9.
 
#GivingTuesday #hopeww https://t.co/zPxIHbjThC",HOPEworldwide,2
31,2021-11-30 19:00:43+00:00,1.46576E+18,"Seth Hernandez, a Campus Club Leader, is matching Nacho Libre! What will you do for your match?
---
We have 24 hours to match $24K, and we need your help! Donate Now: https://t.co/5vI4zxTiG9.
 
#GivingTuesday #hopeww https://t.co/S6a4utYjLb",HOPEworldwide,3
32,2021-11-30 17:00:54+00:00,1.46573E+18,"Grant Geyer and Tyler Rahe, HVC volunteers, are matching Daniel LaRusso and Johnny Lawrence from The Karate Kid. What will you do for your match?
---
We have 24 hours to match $24K, and we need your help! Donate Now: https://t.co/5vI4zxTiG9.
 
#GivingTuesday #hopeww https://t.co/3cX5Odf8U7",HOPEworldwide,2
33,2021-11-30 15:00:50+00:00,1.4657E+18,"#HOPEww is excited to participate in #GivingTuesday to rally support for the HVC Scholarship Fund!
 
Generous donors have challenged us to raise $24K in 24 HOURS &amp; they will double every donation! You can donate here: https://t.co/5vI4zyaTxH.

#GivingTuesday2021 #hopeworldwide https://t.co/TcuFYRUI8A",HOPEworldwide,3
34,2021-11-28 17:00:39+00:00,1.465E+18,"--Repost from @HOPEworldwideUK--

Looking for some Tuesday inspiration? __

Michael Sanchez ran 26.2 miles as part of the London 2021 Virtual Marathon to fundraise for our homeless services and addiction recovery programs!

#hopeworldwide #hopeww https://t.co/mfxF3Hg0di",HOPEworldwide,2
35,2021-11-24 15:00:52+00:00,1.46352E+18,"Inspiring work by HOPEww San Antonio Chapter__

--Repost from HOPE ww San Antonio Chapter--

Thank you all for participating in our MISSION4HOPE 5k! With every registration and donation you are making an impact through the work HOPEww is doing!

#hope #hopeworldwide #hopeww https://t.co/hjghBRRyMP",HOPEworldwide,2
36,2021-11-22 15:24:21+00:00,1.4628E+18,"Check Out Julia's Unexpected Pre-School Renovation__

We are so encouraged by the work that @HOPEworldwideSA is doing all throughout South Africa. This is such an incredible story of the impact partnerships like this can make on local communities.

#hope #hopeworldwide #hopeww https://t.co/qYCIAEx8iV",HOPEworldwide,3
37,2021-11-21 17:00:16+00:00,1.46247E+18,"Great work HOPE Worldwide Southern CT Chapter __

--Repost from HOPE Worldwide Southern CT Chapter 

Thank you to everyone who came to help us fill backpacks at Filling Banks today! We were able to fill, seal, and package 270 bags in under two hours.

#hope #hopeworldwide #hopeww https://t.co/EyEWx4OTF4",HOPEworldwide,3
38,2021-11-19 15:00:25+00:00,1.46171E+18,"__GIVING TUESDAY IS COMING!__

On November 30th, #HOPEww is proud to participate in Giving Tuesday to rally support for our @hwwvolunteercorps Programs. 

We have 24 hours to match $24,000! We need your support to beat this goal! 

#GivingTuesday2021 #GivingTuesday https://t.co/5xKKYbU2VV",HOPEworldwide,2
39,2021-11-12 15:00:34+00:00,1.45917E+18,"__SINGHOPE IS TODAY!__

#SINGHOPE will be live on our YouTube channel on Nov. 12th at 8 PM EST/5 PM PST! To learn more visit https://t.co/BRB3IEfVR8.
 
#hopeworldwide #hopeww #SINGHOPE https://t.co/U5jXCiJ8aT",HOPEworldwide,3
40,2021-11-09 15:07:22+00:00,1.45809E+18,"Incredible work by HOPE worldwide Mexico!__

The Chimalhuacan Child Nutrition Center provides 55,000 breakfasts annually to over 120 families in need. At the center, they work to improve the development of boys and girls so that they perform better in their schools.
 
#hopeww https://t.co/M2zbP9dfqQ",HOPEworldwide,2
41,2021-11-05 14:04:46+00:00,1.45662E+18,"Leave a _§Ô_ below for this__

This is so special __ It truly inspires hope to watch a community take care of someone who is in need. What ways can we imitate this lesson into how we take care of one another in our own communities?

via the School District Philadelphia

#hopeww https://t.co/NwVFOOACoQ",HOPEworldwide,3
42,2021-10-28 15:10:04+00:00,1.45374E+18,"Leave a _§Ô_ below for this__

Brooke from @southernhillshospitallv (on Instagram) goes above and beyond for her patients __ _•∫Such a great example of how serving our neighbors in need can come in many different shapes and forms!

#hope #hopeworldwide #hopeww https://t.co/qMFhOVEY9T",HOPEworldwide,3
43,2021-10-27 14:00:20+00:00,1.45336E+18,"Volunteering = a tool for inspiring greater hope ________

Your turn ‚¨____

Credit: UN Volunteers

#hope #hopeworldwide #hopeww https://t.co/zmjfwbhI3I",HOPEworldwide,2
44,2021-10-22 14:01:23+00:00,1.45155E+18,"__NYAC APPLICATIONS ARE OPEN__

Are you a U.S. high school or college student looking for the opportunity to build important leadership skills? The National Youth Advisory Council (NYAC) is for you!

Applications are live! Visit https://t.co/tS8Cw4eVuP to learn more!
 
#hopeww https://t.co/6ETymxLv4P",HOPEworldwide,2
45,2021-10-20 14:35:34+00:00,1.45083E+18,"__SINGHOPE is COMING! With some new artists! __

Any guesses for which artists will be performing?

Save the date! SINGHOPE is back on Nov 12th.

#hope #hopeworldwide #hopeww https://t.co/nGpahaeZIU",HOPEworldwide,1
46,2021-10-19 14:00:20+00:00,1.45046E+18,"__Great work HOPEww Golf Classic__

The HOPEww Dallas-Fort Worth Chapter set up this awesome fundraiser where 96 people came together to play a round of 18 holes of golf and raise money for HOPE worldwide Africa.

#hopeworldwide #hopeww https://t.co/XEkbcT8rPS",HOPEworldwide,2
47,2021-10-15 16:01:13+00:00,1.44904E+18,"____SINGHOPE is BACK____

Mark your calendars! Save the date! SINGHOPE is back on Nov 12th.

We are so excited to host this year__ SINGHOPE with some new artists, and new twists! 
More details coming soon.

#hope #hopeworldwide #hopeww https://t.co/jhDOtTke0x",HOPEworldwide,3
48,2021-10-13 16:01:14+00:00,1.44832E+18,"As a part of #hispanicheritagemonth, we asked some of our staff members of Hispanic/Latinx heritage to share what this month means to them.
 
We would love to hear your story and what this month of celebrating your heritage means to you!
 
#hopeww #latinxheritagemonth https://t.co/cbR8EckR2Y",HOPEworldwide,2
49,2021-10-10 14:00:32+00:00,1.4472E+18,"__Today is World Mental Health Day__

We wanted to share some of our favorite quotes and reminders with you about mental health. We hope today you remember how important mental health is and take action to prioritize your mental health.

#hopeww #mentalhealth #mentalhealthday https://t.co/Y90cvboBtI",HOPEworldwide,3
50,2021-10-09 14:00:26+00:00,1.44684E+18,"__HOPEww 2021 Awards__

One week ago we hosted Think Tank 2021 with our Chapter Leaders &amp; Service Leaders here in Atlanta, GA. At the event, we were able to recognize some of our incredible volunteers by presenting them with our HOPEww 2021 awards!

#hopeww #hopeworldwide https://t.co/TAZXC4DtsI",HOPEworldwide,3
51,2021-10-05 14:00:25+00:00,1.44539E+18,"We are so grateful for our incredible staff, volunteers, and supporters here at HOPE worldwide! 

Thank you for your incredible support as we seek to pursue our mission! Together we can INSPIRE GREATER HOPE!
 
#hopeww #hopeworldwide https://t.co/85F2GuVmVm",HOPEworldwide,3
52,2021-10-04 14:09:00+00:00,1.44503E+18,"--REPOST from Hope worldwide NY Metro--

Urban areas across the NY/NJ metro region are in great need! From beautification to feeding the food insecure, HOPEww volunteers are working, even during a pandemic, to meet those needs!

#hope #hopeworldwide #hopeww https://t.co/6LQBJRA3AY",HOPEworldwide,3
53,2021-10-01 14:00:55+00:00,1.44394E+18,"We are excited to announce our provisional plan for 2022. We say __rovisional_ as we are still dealing with COVID-19 contingencies and unpredictability. Registration for the 2022 trips will open on December 1.

Which trip are you signing up for?

#hopeww #hvc #hopevolunteercorps https://t.co/tNGLbQ21V7",HOPEworldwide,2
54,2021-09-30 14:05:04+00:00,1.44358E+18,"REPOST--@_HopeIndia:
The HOPE foundation school, in the village of Chinnagudi in Nagapattinam district of India, teaches over 300 children from kindergarten to fifth grade. Providing quality English education within walking distance of their homes has endeared the school.
#hopeww https://t.co/UXA0K3iBlF",HOPEworldwide,3
55,2021-09-29 14:00:27+00:00,1.44321E+18,"How would you describe a volunteer? _

For us, volunteers partner with their local and global communities to bring about sustainable development.

#hope #hopeworldwide #hopeww https://t.co/1J6AfX1PUl",HOPEworldwide,2
56,2021-09-26 14:00:07+00:00,1.44213E+18,"Leave a _§Ô_ below for the support__

This is so true. Everyone could use a hug from time to time.____ Maybe today you__l have an opportunity to be that support to someone else!
____
Video: shackychan2 on TikTok

#hope #hopeworldwide #hopeww https://t.co/1QVyzDUPEy",HOPEworldwide,3
57,2021-09-25 14:00:34+00:00,1.44176E+18,"__HOPEww Volunteer Corps Bahamas Highlight__

__eing part of HVC has allowed me the opportunity to put my faith in action, build new, spiritual, deep and hopefully lifelong friendships, experience the blessings and challenges of a new culture!_

#hopeworldwide #hopeww https://t.co/KZGGrXBhTL",HOPEworldwide,2
58,2021-09-24 14:38:52+00:00,1.44141E+18,"@CatFoundationTS Gives $200,000 Grant to HOPE worldwide bringing relief to the vulnerable communities affected by the COVID19 pandemic in Indonesia!

To learn more click here: https://t.co/nXpNcmGUuZ 
 
#hopeww #hopeworldwide #caterpillarfoundation #hopeworldwideindonesia https://t.co/p3N9NdXBW4",HOPEworldwide,3
59,2021-09-23 14:00:58+00:00,1.44104E+18,"__Meet the newest 2022 Global Service Interns!__

We are so excited to announce our newest members of GSI! These seven young men and women will be trained to lead our #HOPEww Volunteer Corps trips around the world.

Click the link for their full bios: https://t.co/u0W4gpJWfO. https://t.co/gojWpqoeL8",HOPEworldwide,3
60,2021-09-21 14:01:05+00:00,1.44032E+18,"__Celebrating Hispanic Heritage Month!__
 
During this month we will be honoring and highlighting those of Hispanic/Latinx heritage from our staff, our volunteers, and the many historical figures who represent our mission.
 
#hopeww #hopeworldwide #HispanicHeritageMonth https://t.co/vwLKd2iEj8",HOPEworldwide,3
61,2021-09-20 19:00:12+00:00,1.44003E+18,"Over the past month with the support of our partners HOPEww Haiti, the Caribbean Mission Society, and other Haiti supporters, we__e been able to provide critical food and medicine to families. 

To Donate Now: https://t.co/VcPyIhgAsr

#hopeww #hopeworldwide https://t.co/TNWO5McP9c",HOPEworldwide,3
62,2021-09-18 16:00:18+00:00,1.43926E+18,"__Happy National Cleanup Day__

There are tons of events happening globally today to clean up local parks, trails, beaches, mountains &amp; open spaces!

How will you be spending your #NationalCleanupDay?

#hope #hopeworldwide #hopeww https://t.co/dGbRu3T2xN",HOPEworldwide,2
63,2021-09-16 14:00:35+00:00,1.4385E+18,"Such an amazing point from this throwback to Carmen Hamilton__ TED Talk __dverse Childhood Experiences (ACEs)_ from our 2019 Global Conference! 
 
Click the link to check out our YouTube channel for this and other videos: https://t.co/dNVbUz9Djr.
 
#hopeworldwide #hopeww https://t.co/MNyUWuHAMd",HOPEworldwide,3
64,2021-09-12 14:00:16+00:00,1.43705E+18,"_§ØWhat a simple, yet amazing idea!_§Ô_
Especially during a time like now where so many people have been isolated or alone, this is such a great way to brighten someone__ day and serve your local community in a unique and fun way!
__: @lalalandkindcafe
#hope #hopeworldwide #hopeww https://t.co/6bnomMDHPv",HOPEworldwide,2
65,2021-09-10 18:00:04+00:00,1.43639E+18,"This is a throwback to Ben Barnett__ message __reach Good News to the Poor_ from last year! Want to go back and watch the full thing? Click the link to check out our YouTube channel for this and other videos: https://t.co/uf5FdILipe.

#hopeworldwide #hopeww https://t.co/zQB07vy8tS",HOPEworldwide,3
66,2021-09-09 14:00:19+00:00,1.43597E+18,"__Volunteering is at the core of who we are at HOPE worldwide__

This month we are focusing on volunteering, and we want to hear from YOU! What does volunteering mean to you? What ways do you #volunteer in your local community? Let us know in the comments!

#hopeworldwide #hopeww https://t.co/aspcGYUJor",HOPEworldwide,2
